Time,!a,!b,!c
0,0,0,0
40.0794450257135,3,1,1000
96.8546854945117,7,1,1000
133.590061209569,9,1,1000
155.495199161814,13,1,1000
175.718633473753,15,1,1000
199.074434303754,16,1,1000
229.050253547842,19,1,1000
253.224399678704,21,1,1000
279.836579658388,24,1,1000
301.18859367996,27,1,1000
329.850143538883,31,1,1000
361.889835434959,33,1,1000
382.035173035451,31,1,1000
407.728525682161,33,1,1000
434.717740120276,34,1,1000
473.991470201835,32,1,1000
497.220234630011,31,1,1000
517.854347273547,35,1,1000
538.36968964546,33,1,1000
566.99807619557,39,1,1000
593.688271660714,38,10000,1000
614.27559156005,41,10000,1000
635.400341056733,43,10000,1000
660.466964762431,43,10000,1000
685.893371200817,44,10000,1000
725.947469405878,46,10000,1000
751.105865252301,44,10000,1000
789.799329793672,42,10000,1000
820.86530127453,44,10000,1000
849.189073548482,49,10000,1000
871.255727254636,48,10000,1000
894.431045213732,49,10000,1000
918.652562136175,51,10000,1000
939.450018957529,52,10000,1000
961.227560455653,54,10000,1000
988.186909024013,56,10000,1000
1013.25538947576,55,10000,1000
1035.08639623713,55,10000,1000
1064.81169916669,55,10000,1000
1086.70948682938,56,10000,1000
1112.77967303155,57,10000,1000
1132.87509175292,57,10000,1
1153.56979733278,56,10000,5
1174.88345145681,55,10000,8
1196.56531656461,53,10000,11
1218.43274521613,52,10000,19
1240.60319515346,50,10000,22
1263.12594753262,50,10000,25
1288.51618077723,49,10000,27
1322.69899446131,49,10000,28
1350.78416755979,45,10000,31
1371.01900203324,43,10000,31
1393.53634123561,42,10000,33
1420.61492774592,41,10000,35
1441.1325571052,41,10000,40
1471.93329015835,41,10000,41
1497.89118002961,40,10000,41
1520.2069175946,39,10000,45
1547.72218524832,37,10000,46
1573.61572950979,37,10000,47
1601.9665853848,37,10000,47
1622.46132831753,34,10000,48
1642.79524983105,34,10000,50
1667.55874893333,34,10000,54
1696.30730474295,34,10000,53
1718.02440846091,33,10000,53
1739.91653564532,33,10000,53
1762.33237715124,33,10000,54
1785.22686730634,32,10000,58
1809.18079752991,29,10000,60
1830.85509240312,28,10000,61
1850.9039493626,26,10000,62
1873.84583939802,25,10000,62
1900.59825335475,25,10000,60
1924.96379053969,23,10000,61
1969.86161608996,23,10000,64
1989.95239094325,23,10000,66
2019.4571436742,23,10000,65
